Acanthamoeba castellanii
Aduncisulcus paluster
Amoebophrya ceratii
Ancora sagittata
Ascaris suum
Blastocystis sp.
Brevimastigomonas motovehiculus
Carpediemonas membranifera
Cantina marsupialis
Cephaloidophora communis
Chilodonella uncinata
Chilomastix cuspidata
Chlamydomonas reinhardtii
Chromera velia
Cryptosporidium andersoni
Cryptosporidium hominis
Cryptosporidium muris
Cryptosporidium parvum
Cyclidium porcatum
Dysnectes brevis
Encephalitozoon cuniculi
Entamoeba histolytica
Ergobibamus cyprinoides
Euglena gracilis
Fasciola hepatica
Giardia intestinalis
Giardia lamblia
Gregarina niphandrodes
Henneguya salminicola
Homo sapiens
Heliospora caprellae
Heterometopus sp. CSS
Kipferlia bialata
Lankesteria metandrocarpae
Lecudina tuzetae
Leishmania tropica
Mastigamoeba balamuthi
Metopid sp. SK
Metopus contortus
Metopus laminarius
Mikrocytos mackini
Mitosporidium sp.
Monocercomonoides exilis
Monocystis agilis
Muranothrix gubernata
Naegleria gruberi
Nematocida parisii
Neocallimastix frontalis
Neocallimastix sp.
Nyctotherus ovalis
Orpinomyces sp.
Parablepharisma
Paratrimastix pyriformis
Piromyces sp.
Plagiopyla frontata
Plagiopyla cf. narasimhumartii
Plasmodium falciparum
Polyplicarium translucidae
Polyrhabdina sp.
Psalteriomonas lanterna
Pterospora schizosoma
Pygsuia biforma
Rozella
Saccharomyces cerevisiae
Sawyeria marylandensis
Schizosaccharomyces pombe
Selenidium pygospionis
Selenidium serpulae
Spironucleus salmonicida
Stygiella incarcerata
Toxoplasma gondii
Trepomonas sp.
Trichomonas vaginalis
Trichotokara eunicae
Trimastix marina
Trypanosoma brucei
Viscum album
Vitrella brassicaformis
