Organism,CI,CII,CIII,CIV,CV,PDH,DNA,TCA,Fe-S
<<<<<<< Updated upstream
Ancora sagittata,1,0,0,0,0,0,0,0,1
Cryptosporidium andersoni,1,1,0,0,1,0,0,1,1
Cryptosporidium hominis,0,0,0,0,0,0,0,0,1
Cryptosporidium muris,1,1,0,0,1,0,0,0,1
Cryptosporidium parvum,0,0,0,0,0,0,0,0,1
Cephaloidophora communis,1,1,0,0,0,0,0,1,1
Gregarina niphandrodes,1,1,0,0,0,0,0,1,1
Heliospora caprellae,1,1,0,0,0,0,0,1,1
Lecudina tuzetae,1,1,0,0,0,0,0,1,1
Lankesteria metandrocarpae,1,1,0,0,0,0,0,1,1
Monocystis agilis,1,1,1,1,1,0,1,1,1
Plasmodium falciparum,1,1,1,1,1,0,1,1,1
Polyplicarium translucidae,1,1,0,0,0,0,0,1,1
Polyrhabdina sp.,0,0,0,0,0,0,0,0,1
Pterospora schizosoma,0,0,0,0,0,0,0,0,1
Selenidium pygospionis,0,1,1,1,1,0,1,1,1
Selenidium serpulae,1,1,1,1,1,0,0,1,1
Toxoplasma gondii,1,1,1,1,1,0,1,1,1
Trichotokara eunicae,1,1,0,0,1,0,0,1,1
=======
Ancora sagittata,0,0,0,0,0,0,0,0,1
Cephaloidophora communis,0,1,0,0,0,0,0,1,1
Cryptosporidium andersoni,0,1,0,0,1,0,0,1,1
Cryptosporidium hominis,0,0,0,0,0,0,0,0,1
Cryptosporidium muris,0,1,0,0,1,0,0,1,1
Cryptosporidium parvum,0,0,0,0,0,0,0,0,1
Gregarina niphandrodes,0,1,0,0,0,0,0,1,1
Heliospora caprellae,0,1,0,0,0,0,0,1,1
Lankesteria metandrocarpae,0,1,0,0,0,0,0,0,1
Lecudina tuzetae,0,1,0,0,0,0,0,0,1
Monocystis agilis,0,1,1,1,1,0,1,1,1
Plasmodium falciparum,0,1,1,1,1,0,1,1,1
Polyplicarium translucidae,0,1,0,0,0,0,0,1,1
Polyrhabdina sp.,0,0,0,0,0,0,0,0,1
Pterospora schizosoma,0,0,0,0,0,0,0,0,1
Selenidium pygospionis,0,1,1,1,1,0,1,1,1
Selenidium serpulae,0,1,1,1,1,0,0,1,1
Toxoplasma gondii,0,1,1,1,1,0,1,1,1
Trichotokara eunicae,0,1,0,0,1,0,0,1,1
>>>>>>> Stashed changes
