Organism,CI,CII,CIII,CIV,CV,PDH,DNA,TCA,Fe-S
Anaerocyclidium porcatum,0,0,0,0,1,0,1,0,1
Apolagynus cf. cucumis,0,1,0,0,0,1,1,1,1
Apolagynus sp.,0,0,0,0,0,1,1,0,1
Chilodonella uncinata,1,1,1,1,1,1,1,1,1
Heterometopus sp. CSS,0,0,0,0,0,0,1,0,1
Holophrya ovum,1,1,1,1,1,1,1,1,1
Lagynus cucumis,0,0,0,0,0,1,1,0,1
Metopus contortus,0,1,0,0,0,1,1,0,1
Metopus laminarius,0,1,0,0,0,1,0,1,1
Muranothrix gubernata,0,1,0,0,1,0,1,0,1
Nyctotherus ovalis,0,1,0,0,0,0,1,0,1
Parablepharisma,0,0,0,0,0,0,1,0,1
Plagiopyla frontata,0,0,0,0,0,1,0,0,1
Plagiopyla cf. narasimhamurtii,0,0,0,0,0,1,1,0,1
