Organism,CI,CII,CIII,CIV,CV,PDH,DNA,TCA,Fe-S
Acanthamoeba castellanii,1,1,1,1,1,1,1,1,1
Carpediemonas membranifera,1,0,0,0,0,0,0,0,1
Chilodonella uncinata,1,1,1,1,1,1,1,1,1
Chlamydomonas reinhardtii,1,1,1,1,1,1,1,1,1
Cryptosporidium parvum,0,0,0,0,1,0,0,0,1
Cyclidium porcatum,1,1,1,1,1,1,1,0,1
Entamoeba histolytica,0,0,0,0,0,0,0,0,1
Euglena gracilis,1,1,1,1,1,1,1,1,1
Fasciola hepatica,1,1,0,0,1,1,1,0,1
Giardia intestinalis,0,0,0,0,0,0,0,0,1
Henneguya salminicola,0,1,0,0,1,0,0,1,1
Homo sapiens,1,1,1,1,1,1,1,1,1
Kudoa,1,1,1,1,1,1,1,1,1
Leishmania tropica,1,1,1,1,1,1,1,1,1
Mastigamoeba balamuthi,0,1,0,0,0,0,0,0,1
Naegleria gruberi,1,1,1,1,1,1,1,1,1
Neocallimastix frontalis,0,0,0,0,0,0,0,0,1
Nyctotherus ovalis,1,1,1,0,0,1,1,0,1
Paratrimastix pyriformis,0,0,0,0,0,0,0,0,0
Plasmodium falciparum,0,1,1,1,1,0,1,1,1
Rozella,0,1,1,1,1,1,1,1,1
Saccharomyces cerevisiae,0,1,1,1,1,1,1,1,1
Sawyeria marylandensis,1,0,0,0,0,0,0,0,1
Schizosaccharomyces pombe,0,1,1,1,1,1,1,1,1
Spironucleus salmonicida,0,0,0,0,0,0,0,0,1
Toxoplasma gondii,0,1,1,1,1,0,1,1,1
Trichomonas vaginalis,1,0,0,0,0,0,0,0,1
Trypanosoma brucei,1,1,1,1,1,1,1,1,1
Viscum album,0,1,1,1,1,1,1,1,1
