Reaction number,Reaction name,Subsystem,Gene name,lb,ub
1,EX_2hb(e),Exchange reaction,,-infty,infty
2,EX_ac(e) ,Exchange reaction,,-infty,infty
3,EX_acac(e),Exchange reaction,,-infty,infty
4,EX_akg(e),Exchange reaction,,-infty,infty
5,EX_ala_B(e) ,Exchange reaction,,-infty,infty
6,EX_ala_L(e),Exchange reaction,,-infty,infty
7,EX_arg_L(e),Exchange reaction,,-infty,infty
8,EX_argsuc(e),Exchange reaction,,-infty,infty
9,EX_asn_L(e),Exchange reaction,,-infty,infty
10,EX_asp_L(e),Exchange reaction,,-infty,infty
11,EX_bhb(e),Exchange reaction,,-infty,infty
12,EX_bilirub(e),Exchange reaction,,-infty,infty
13,EX_biomass(e),Exchange reaction,,-infty,infty
14,EX_but(e),Exchange reaction,,-infty,infty
15,EX_chol(e),Exchange reaction,,-infty,infty
16,EX_cit(e),Exchange reaction,,-infty,infty
17,EX_citr_L(e),Exchange reaction,,-infty,infty
18,EX_co(e),Exchange reaction,,-infty,infty
19,EX_co2(e),Exchange reaction,,-infty,infty
20,EX_creat(e),Exchange reaction,,-infty,infty
21,EX_cyan(e),Exchange reaction,,-infty,infty
22,EX_cys_L(e),Exchange reaction,,-infty,infty
23,EX_etoh(e),Exchange reaction,,-infty,infty
24,EX_fe2(e),Exchange reaction,,-infty,infty
25,EX_for(e),Exchange reaction,,-infty,infty
26,EX_fum(e),Exchange reaction,,-infty,infty
27,EX_glc_D(e),Exchange reaction,,-infty,infty
28,EX_gln_L(e),Exchange reaction,,-infty,infty
29,EX_glu_L(e),Exchange reaction,,-infty,infty
30,EX_gly(e) ,Exchange reaction,,-infty,infty
31,EX_glyc(e),Exchange reaction,,-infty,infty
32,EX_h(e),Exchange reaction,,-infty,infty
33,EX_h2o(e),Exchange reaction,,-infty,infty
34,EX_HC00250(e),Exchange reaction,,-infty,infty
35,EX_hco3(e),Exchange reaction,,-infty,infty
36,EX_hdca(e),Exchange reaction,,-infty,infty
37,EX_his_L(e),Exchange reaction,,-infty,infty
38,EX_icit(e),Exchange reaction,,-infty,infty
39,EX_ile_L(e),Exchange reaction,,-infty,infty
40,EX_lac_L(e),Exchange reaction,,-infty,infty
41,EX_leu_L(e),Exchange reaction,,-infty,infty
42,EX_lys_L(e),Exchange reaction,,-infty,infty
43,EX_mal_L(e),Exchange reaction,,-infty,infty
44,EX_mercplac(e),Exchange reaction,,-infty,infty
45,EX_met_L(e),Exchange reaction,,-infty,infty
46,EX_nad(e),Exchange reaction,,-infty,infty
47,EX_nadh(e),Exchange reaction,,-infty,infty
48,EX_nh4(e),Exchange reaction,,-infty,infty
49,EX_no(e),Exchange reaction,,-infty,infty
50,EX_o2(e),Exchange reaction,,-infty,infty
51,EX_oaa(e),Exchange reaction,,-infty,infty
52,EX_pchol_hs(e),Exchange reaction,,-infty,infty
53,EX_pcreat(e),Exchange reaction,,-infty,infty
54,EX_pe_hs(e),Exchange reaction,,-infty,infty
55,EX_phe_L(e),Exchange reaction,,-infty,infty
56,EX_pi(e),Exchange reaction,,-infty,infty
57,EX_ppa(e),Exchange reaction,,-infty,infty
58,EX_pro_L(e),Exchange reaction,,-infty,infty
59,EX_ps_hs(e),Exchange reaction,,-infty,infty
60,EX_ser_L(e),Exchange reaction,,-infty,infty
61,EX_so3(e),Exchange reaction,,-infty,infty
62,EX_succ(e),Exchange reaction,,-infty,infty
63,EX_tcynt(e),Exchange reaction,,-infty,infty
64,EX_thr_L(e),Exchange reaction,,-infty,infty
65,EX_trp_L(e),Exchange reaction,,-infty,infty
66,EX_tsul(e),Exchange reaction,,-infty,infty
67,EX_tyr_L(e),Exchange reaction,,-infty,infty
68,EX_urea(e),Exchange reaction,,-infty,infty
69,EX_val_L(e),Exchange reaction,,-infty,infty
70,EX_fol(e),Exchange reaction,,-infty,infty
71,OF_ATP_MitoCore,Objective Function - ATP,,0,1000
72,OF_HEME_MitoCore,Objective Function - Heme,,0,1000
73,OF_LIPID_MitoCore,Objective Function - Lipid synthesis,,0,1000
74,OF_PROTEIN_MitoCore,Objective Function - Protein Synthesis,,0,1000
75,HEX1,Glycolysis,Hexokinases,0,1000
