"KO","EX_O2","MAX_ATP","CI","CII","CIII","CIV","CV","PDH"
"NONE",-19.8,100.89230387213,29.368522781516,6.84939130439614,39.5412629545267,19.7706314772634,93.3932603940075,2.60799999993198
"CI,CII,CIII",-0.0587,1.81559414414414,0,0,0,0,-0.00798918918894742,0.0019999999999527
"CI,CII,CIV",-0.005,1.81559414414255,0,0,0,0,-0.00798918918837899,0.00200000000131695
"CI,CII,CV",-0.4585,1.99499999999951,0,0,0.392999999996391,0.196499999998196,0,0.103999999994926
"CI,CII,PDH",-5.5783,16.8070945949446,0,0,9.68650000020898,4.84325000010448,15.7475945949036,0
"CI,CIII,CIV",-0.048,1.84821801801638,0,-0.153333333333876,0,0,0.00655135135195906,0.0586666666666026
"CI,CIII,CV",-0.0678,1.84625757575895,0,-0.148742424242755,0,0,0,0.0554848484844115
"CI,CIII,PDH",-0.0128,1.84468432431878,0,-0.151199999993423,0,0,0.000884324307435236,0
"CI,CIV,CV",-0.0618,1.84625757575577,0,-0.148742424239913,0,0,0,0.0494848484727299
"CI,CIV,PDH",-0.0138,1.84468432432573,0,-0.151200000000131,1.13686837721616e-13,0,0.000884324324374575,0
"CI,CV,PDH",-19.8,7.01969565217132,0,6.73426086956783,39.5999999999999,19.8,0,0
"CII,CIII,CIV",0,1.81559414414364,0,0,0,0,-0.00798918919304015,0.00199999999765756
"CII,CIII,CV",-0.016,1.81474390244038,0,0,0,0,0,0.0359999999996034
"CII,CIII,PDH",-0.005,1.8155635135126,0,0,0,0,-0.00868648648759063,0
"CII,CIV,CV",-0.012,1.81474390243955,0,0,0,0,0,0.0360000000001305
"CII,CIV,PDH",0,1.81556351351511,-7.95807864051312e-13,0,0,0,-0.00868648648645376,0
"CII,CV,PDH",-0.5459,1.97975000000099,0,0,0.565750000003618,0.282875000001809,0,0
"CIII,CIV,CV",-0.1212,1.88825998621178,0.089899841042552,-0.106740013787203,0,0,0,0.0313998410427092
"CIII,CIV,PDH",-0.1063,2.10073912745921,0.329109703196877,-0.362780593493085,0,0,0.468519720948507,0
"CIII,CV,PDH",-0.1564,1.88281553112004,0.0897080141688775,-0.112184468883584,0,0,0,0
"CIV,CV,PDH",-0.1564,1.88281553112188,0.0897080141671722,-0.112184468879491,0,0,0,0
"CI,CII,CIII,CIV",-0.0587,1.8155941441446,0,0,0,0,-0.00798918918906111,0.0019999999999527
"CI,CII,CIII,CV",-0.0119,1.81474390240971,0,0,0,-1.09147259132038e-13,0,0.0359999999683556
"CI,CII,CIII,PDH",-0.01,1.81556351351407,0,0,0,0,-0.00868648648759063,0
"CI,CII,CIV,CV",-0.0156,1.81474390244003,0,0,0,0,0,0.0360000000007658
"CI,CII,CIV,PDH",-0.001,1.81556351351344,0,0,0,0,-0.00868648648724957,0
"CI,CII,CV,PDH",-0.6089,1.97975000000042,0,0,1.05375000000527,0.526875000002633,0,0
"CI,CIII,CIV,CV",-0.0678,1.84625757575895,0,-0.148742424242755,0,0,0,0.0554848484844767
"CI,CIII,CIV,PDH",-0.0128,1.84468432432714,0,-0.151199999981145,0,0,0.000884324328580988,0
"CI,CIII,CV,PDH",-0.0133,1.8443444259467,0,-0.150655574042844,0,0,0,0
"CI,CIV,CV,PDH",-0.0133,1.84434442595716,0,-0.150655574043299,0,0,0,0
"CII,CIII,CIV,CV",-0.016,1.81474390244073,-4.54747350886464e-13,0,0,0,0,0.0360000000000589
"CII,CIII,CIV,PDH",0,1.81556351351464,0,0,0,0,-0.00868648648747694,0
"CII,CIII,CV,PDH",-0.0134,1.81438271602959,-6.13908923696727e-12,0,0,0,0,0
"CII,CIV,CV,PDH",-0.0197,1.81438271604986,0,0,0,0,0,0
"CIII,CIV,CV,PDH",-0.1564,1.88281553112004,0.0897080141688775,-0.112184468883584,0,0,0,0
