"KO","EX_O2","MAX_ATP","CI","CII","CIII","CIV","CV","PDH"
"NONE",-1.98,12.3251968427991,3.4159174159181,0.506666666663023,3.9531681651672,1.97658408258362,9.82353017613025,0.610666666665136
"CI,CII,CIII",-0.0867,1.81559414411715,0,0,0,0,-0.00798918919053904,0.00199999999922753
"CI,CII,CIV",-0.01,1.81559414414551,0,0,0,0,-0.007989189195996,0.00200000000245381
"CI,CII,CV",-0.4585,1.99499999999957,0,0,0.392999999999802,0.196499999999911,0,0.103999999999551
"CI,CII,PDH",-1.98,8.24136415362787,0,0,3.96000000000004,1.98000000000002,6.42683783781138,0
"CI,CIII,CIV",-0.048,1.84821801801925,0,-0.153333333333762,0,0,0.00655135135104956,0.0586666666666662
"CI,CIII,CV",-0.0325,1.84625757575,0,-0.148742424239799,0,0,0,0.0477121212096993
"CI,CIII,PDH",-0.0128,1.84468432432069,0,-0.151200000002518,0,0,0.000884324311755336,0
"CI,CIV,CV",-0.0618,1.8462575757577,0,-0.148742424243324,0,0,0,0.0494848484831694
"CI,CIV,PDH",-0.0128,1.84468432432251,0,-0.151199999995697,-3.86535248253495e-12,0,0.000884324321759777,0
"CI,CV,PDH",-1.98,2.37100000000245,0,0.535999999998239,3.96000000000004,1.98000000000002,0,0
"CII,CIII,CIV",-0.005,1.81559414414851,7.95807864051312e-13,0,0,0,-0.00798918918462732,0.00199999999920599
"CII,CIII,CV",-0.0139,1.81474390243943,0,0,0,0,0,0.0378841463416393
"CII,CIII,PDH",0,1.81556351351523,1.13686837721616e-13,0,0,0,-0.00868648648531689,0
"CII,CIV,CV",-0.0831,1.81474390243694,-3.75166564481333e-12,0,0,0,0,0.0378841463389976
"CII,CIV,PDH",-0.005,1.81556351351439,0,0,0,0,-0.00868648648474846,0
"CII,CV,PDH",-0.5459,1.9797500000052,0,0,0.565749999992818,0.282874999996437,0,0
"CIII,CIV,CV",-0.1212,1.88825998621464,0.0898998410439162,-0.106740013787203,0,0,0,0.0313998410443673
"CIII,CIV,PDH",-0.1063,2.10073912745634,0.329109703233826,-0.362780593530147,0,0,0.468519720987501,0
"CIII,CV,PDH",-0.1574,1.88281553111732,0.089708014166149,-0.112184468878468,0,0,0,0
"CIV,CV,PDH",-0.1564,1.88281553112188,0.0897080141671722,-0.112184468879491,0,0,0,0
"CI,CII,CIII,CIV",-0.0867,1.81559414411715,0,0,0,0,-0.00798918919053904,0.00199999999922753
"CI,CII,CIII,CV",-0.0119,1.8147439023784,0,0,0,0,0,0.0360000000034079
"CI,CII,CIII,PDH",-0.01,1.81556351351407,0,0,0,0,-0.00868648648759063,0
"CI,CII,CIV,CV",-0.0129,1.81474390243562,0,0,0,0,0,0.0377560975655602
"CI,CII,CIV,PDH",-0.012,1.81556351350674,0,0,0,0,-0.00868648648190629,0
"CI,CII,CV,PDH",-0.6089,1.97975000000434,0,0,1.05375000003653,0.526875000018094,0,0
"CI,CIII,CIV,CV",-0.0325,1.84625757576017,0,-0.148742424242073,0,0,0,0.0477121212127807
"CI,CIII,CIV,PDH",-0.0128,1.84468432432447,0,-0.151199999942946,0,0,0.000884324065737019,0
"CI,CIII,CV,PDH",-0.0133,1.84434442595755,0,-0.150655574042844,0,0,0,0
"CI,CIV,CV,PDH",-0.0133,1.84434442595924,0,-0.15065557404273,0,0,0,0
"CII,CIII,CIV,CV",-0.0068,1.81474390243943,0,0,0,0,0,0.0378841463434583
"CII,CIII,CIV,PDH",0,1.81556351351357,0,0,0,0,-0.00868648648759063,0
"CII,CIII,CV,PDH",-0.026,1.81438271603535,-3.41060513164848e-13,0,0,0,0,0
"CII,CIV,CV,PDH",-0.013,1.81438271600651,-2.07137418328784e-10,0,0,0,0,0
"CIII,CIV,CV,PDH",-0.1574,1.88281553111846,0.0897080141637616,-0.112184468879263,0,0,0,0
